year,country,value,indicator
2016,中国,0.0,5G覆盖率
2017,中国,0.0,5G覆盖率
2018,中国,0.0,5G覆盖率
2019,中国,5.0,5G覆盖率
2020,中国,46.0,5G覆盖率
2021,中国,85.0,5G覆盖率
2022,中国,90.0,5G覆盖率
2023,中国,95.0,5G覆盖率
2024,中国,95.0,5G覆盖率
2025,中国,98.0,5G覆盖率
2026,中国,100.0,5G覆盖率
2027,中国,100.0,5G覆盖率
2028,中国,100.0,5G覆盖率
2029,中国,100.0,5G覆盖率
2030,中国,100.0,5G覆盖率
2031,中国,100.0,5G覆盖率
2032,中国,100.0,5G覆盖率
2033,中国,100.0,5G覆盖率
2034,中国,100.0,5G覆盖率
2035,中国,100.0,5G覆盖率
2016,加拿大,0.0,5G覆盖率
2017,加拿大,0.0,5G覆盖率
2018,加拿大,0.0,5G覆盖率
2019,加拿大,10.0,5G覆盖率
2020,加拿大,40.0,5G覆盖率
2021,加拿大,88.0,5G覆盖率
2022,加拿大,91.0,5G覆盖率
2023,加拿大,96.0,5G覆盖率
2024,加拿大,96.0,5G覆盖率
2025,加拿大,96.0,5G覆盖率
2026,加拿大,100.0,5G覆盖率
2027,加拿大,100.0,5G覆盖率
2028,加拿大,100.0,5G覆盖率
2029,加拿大,100.0,5G覆盖率
2030,加拿大,100.0,5G覆盖率
2031,加拿大,100.0,5G覆盖率
2032,加拿大,100.0,5G覆盖率
2033,加拿大,100.0,5G覆盖率
2034,加拿大,100.0,5G覆盖率
2035,加拿大,100.0,5G覆盖率
2016,印度,0.0,5G覆盖率
2017,印度,0.0,5G覆盖率
2018,印度,0.0,5G覆盖率
2019,印度,0.0,5G覆盖率
2020,印度,0.0,5G覆盖率
2021,印度,0.0,5G覆盖率
2022,印度,5.0,5G覆盖率
2023,印度,60.0,5G覆盖率
2024,印度,90.0,5G覆盖率
2025,印度,100.0,5G覆盖率
2026,印度,87.0,5G覆盖率
2027,印度,98.18181818181984,5G覆盖率
2028,印度,100.0,5G覆盖率
2029,印度,100.0,5G覆盖率
2030,印度,100.0,5G覆盖率
2031,印度,100.0,5G覆盖率
2032,印度,100.0,5G覆盖率
2033,印度,100.0,5G覆盖率
2034,印度,100.0,5G覆盖率
2035,印度,100.0,5G覆盖率
2016,德国,0.0,5G覆盖率
2017,德国,0.0,5G覆盖率
2018,德国,0.0,5G覆盖率
2019,德国,10.0,5G覆盖率
2020,德国,45.0,5G覆盖率
2021,德国,91.0,5G覆盖率
2022,德国,95.0,5G覆盖率
2023,德国,96.0,5G覆盖率
2024,德国,96.0,5G覆盖率
2025,德国,99.0,5G覆盖率
2026,德国,100.0,5G覆盖率
2027,德国,100.0,5G覆盖率
2028,德国,100.0,5G覆盖率
2029,德国,100.0,5G覆盖率
2030,德国,100.0,5G覆盖率
2031,德国,100.0,5G覆盖率
2032,德国,100.0,5G覆盖率
2033,德国,100.0,5G覆盖率
2034,德国,100.0,5G覆盖率
2035,德国,100.0,5G覆盖率
2016,日本,0.0,5G覆盖率
2017,日本,0.0,5G覆盖率
2018,日本,0.0,5G覆盖率
2019,日本,10.0,5G覆盖率
2020,日本,25.0,5G覆盖率
2021,日本,70.0,5G覆盖率
2022,日本,90.0,5G覆盖率
2023,日本,99.7,5G覆盖率
2024,日本,99.9,5G覆盖率
2025,日本,100.0,5G覆盖率
2026,日本,100.0,5G覆盖率
2027,日本,100.0,5G覆盖率
2028,日本,100.0,5G覆盖率
2029,日本,100.0,5G覆盖率
2030,日本,100.0,5G覆盖率
2031,日本,100.0,5G覆盖率
2032,日本,100.0,5G覆盖率
2033,日本,100.0,5G覆盖率
2034,日本,100.0,5G覆盖率
2035,日本,100.0,5G覆盖率
2016,法国,0.0,5G覆盖率
2017,法国,0.0,5G覆盖率
2018,法国,0.0,5G覆盖率
2019,法国,10.0,5G覆盖率
2020,法国,30.0,5G覆盖率
2021,法国,60.0,5G覆盖率
2022,法国,80.0,5G覆盖率
2023,法国,93.0,5G覆盖率
2024,法国,99.0,5G覆盖率
2025,法国,99.0,5G覆盖率
2026,法国,100.0,5G覆盖率
2027,法国,100.0,5G覆盖率
2028,法国,100.0,5G覆盖率
2029,法国,100.0,5G覆盖率
2030,法国,100.0,5G覆盖率
2031,法国,100.0,5G覆盖率
2032,法国,100.0,5G覆盖率
2033,法国,100.0,5G覆盖率
2034,法国,100.0,5G覆盖率
2035,法国,100.0,5G覆盖率
2016,美国,0.0,5G覆盖率
2017,美国,0.0,5G覆盖率
2018,美国,0.0,5G覆盖率
2019,美国,5.0,5G覆盖率
2020,美国,35.0,5G覆盖率
2021,美国,74.0,5G覆盖率
2022,美国,94.0,5G覆盖率
2023,美国,97.0,5G覆盖率
2024,美国,97.4,5G覆盖率
2025,美国,99.0,5G覆盖率
2026,美国,100.0,5G覆盖率
2027,美国,100.0,5G覆盖率
2028,美国,100.0,5G覆盖率
2029,美国,100.0,5G覆盖率
2030,美国,100.0,5G覆盖率
2031,美国,100.0,5G覆盖率
2032,美国,100.0,5G覆盖率
2033,美国,100.0,5G覆盖率
2034,美国,100.0,5G覆盖率
2035,美国,100.0,5G覆盖率
2016,英国,0.0,5G覆盖率
2017,英国,0.0,5G覆盖率
2018,英国,0.0,5G覆盖率
2019,英国,10.0,5G覆盖率
2020,英国,30.0,5G覆盖率
2021,英国,46.0,5G覆盖率
2022,英国,67.0,5G覆盖率
2023,英国,85.0,5G覆盖率
2024,英国,85.0,5G覆盖率
2025,英国,95.0,5G覆盖率
2026,英国,100.0,5G覆盖率
2027,英国,100.0,5G覆盖率
2028,英国,100.0,5G覆盖率
2029,英国,100.0,5G覆盖率
2030,英国,100.0,5G覆盖率
2031,英国,100.0,5G覆盖率
2032,英国,100.0,5G覆盖率
2033,英国,100.0,5G覆盖率
2034,英国,100.0,5G覆盖率
2035,英国,100.0,5G覆盖率
2016,阿联酋,0.0,5G覆盖率
2017,阿联酋,0.0,5G覆盖率
2018,阿联酋,0.0,5G覆盖率
2019,阿联酋,10.0,5G覆盖率
2020,阿联酋,15.0,5G覆盖率
2021,阿联酋,30.0,5G覆盖率
2022,阿联酋,50.0,5G覆盖率
2023,阿联酋,90.0,5G覆盖率
2024,阿联酋,100.0,5G覆盖率
2025,阿联酋,100.0,5G覆盖率
2026,阿联酋,100.0,5G覆盖率
2027,阿联酋,100.0,5G覆盖率
2028,阿联酋,100.0,5G覆盖率
2029,阿联酋,100.0,5G覆盖率
2030,阿联酋,100.0,5G覆盖率
2031,阿联酋,100.0,5G覆盖率
2032,阿联酋,100.0,5G覆盖率
2033,阿联酋,100.0,5G覆盖率
2034,阿联酋,100.0,5G覆盖率
2035,阿联酋,100.0,5G覆盖率
2016,韩国,0.0,5G覆盖率
2017,韩国,0.0,5G覆盖率
2018,韩国,0.0,5G覆盖率
2019,韩国,20.0,5G覆盖率
2020,韩国,85.0,5G覆盖率
2021,韩国,95.0,5G覆盖率
2022,韩国,99.0,5G覆盖率
2023,韩国,99.9,5G覆盖率
2024,韩国,100.0,5G覆盖率
2025,韩国,100.0,5G覆盖率
2026,韩国,100.0,5G覆盖率
2027,韩国,100.0,5G覆盖率
2028,韩国,100.0,5G覆盖率
2029,韩国,100.0,5G覆盖率
2030,韩国,100.0,5G覆盖率
2031,韩国,100.0,5G覆盖率
2032,韩国,100.0,5G覆盖率
2033,韩国,100.0,5G覆盖率
2034,韩国,100.0,5G覆盖率
2035,韩国,100.0,5G覆盖率
2016,中国,15.6,AI_Book数量
2017,中国,19.2,AI_Book数量
2018,中国,32.5,AI_Book数量
2019,中国,22.8,AI_Book数量
2020,中国,18.9,AI_Book数量
2021,中国,12.7,AI_Book数量
2022,中国,11.0,AI_Book数量
2023,中国,29.3,AI_Book数量
2024,中国,9.5,AI_Book数量
2025,中国,6.0,AI_Book数量
2026,中国,10.686666666667406,AI_Book数量
2027,中国,9.402424242424786,AI_Book数量
2028,中国,8.118181818182165,AI_Book数量
2029,中国,6.83393939394,AI_Book数量
2030,中国,5.549696969697379,AI_Book数量
2031,中国,4.265454545454759,AI_Book数量
2032,中国,2.981212121212593,AI_Book数量
2033,中国,1.6969696969699726,AI_Book数量
2034,中国,0.4127272727273521,AI_Book数量
2035,中国,0.0,AI_Book数量
2016,加拿大,3.0,AI_Book数量
2017,加拿大,7.6,AI_Book数量
2018,加拿大,5.8,AI_Book数量
2019,加拿大,6.0,AI_Book数量
2020,加拿大,13.9,AI_Book数量
2021,加拿大,5.7,AI_Book数量
2022,加拿大,7.5,AI_Book数量
2023,加拿大,13.3,AI_Book数量
2024,加拿大,0.0,AI_Book数量
2025,加拿大,0.0,AI_Book数量
2026,加拿大,4.733333333333462,AI_Book数量
2027,加拿大,4.452121212121369,AI_Book数量
2028,加拿大,4.1709090909092765,AI_Book数量
2029,加拿大,3.8896969696971837,AI_Book数量
2030,加拿大,3.608484848484977,AI_Book数量
2031,加拿大,3.3272727272728844,AI_Book数量
2032,加拿大,3.0460606060607915,AI_Book数量
2033,加拿大,2.7648484848486987,AI_Book数量
2034,加拿大,2.483636363636606,AI_Book数量
2035,加拿大,2.2024242424243994,AI_Book数量
2016,印度,15.5,AI_Book数量
2017,印度,12.5,AI_Book数量
2018,印度,30.8,AI_Book数量
2019,印度,27.4,AI_Book数量
2020,印度,22.5,AI_Book数量
2021,印度,18.9,AI_Book数量
2022,印度,12.8,AI_Book数量
2023,印度,10.6,AI_Book数量
2024,印度,5.8,AI_Book数量
2025,印度,4.0,AI_Book数量
2026,印度,6.119999999999436,AI_Book数量
2027,印度,4.309090909090173,AI_Book数量
2028,印度,2.4981818181809103,AI_Book数量
2029,印度,0.6872727272716475,AI_Book数量
2030,印度,0.0,AI_Book数量
2031,印度,0.0,AI_Book数量
2032,印度,0.0,AI_Book数量
2033,印度,0.0,AI_Book数量
2034,印度,0.0,AI_Book数量
2035,印度,0.0,AI_Book数量
2016,德国,16.2,AI_Book数量
2017,德国,11.0,AI_Book数量
2018,德国,16.6,AI_Book数量
2019,德国,16.1,AI_Book数量
2020,德国,22.5,AI_Book数量
2021,德国,23.0,AI_Book数量
2022,德国,11.4,AI_Book数量
2023,德国,13.6,AI_Book数量
2024,德国,7.4,AI_Book数量
2025,德国,3.0,AI_Book数量
2026,德国,8.326666666666824,AI_Book数量
2027,德国,7.280606060605805,AI_Book数量
2028,德国,6.234545454545241,AI_Book数量
2029,德国,5.188484848484677,AI_Book数量
2030,德国,4.142424242424113,AI_Book数量
2031,德国,3.0963636363635487,AI_Book数量
2032,德国,2.0503030303029846,AI_Book数量
2033,德国,1.0042424242419656,AI_Book数量
2034,德国,0.0,AI_Book数量
2035,德国,0.0,AI_Book数量
2016,日本,8.1,AI_Book数量
2017,日本,1.7,AI_Book数量
2018,日本,14.7,AI_Book数量
2019,日本,12.0,AI_Book数量
2020,日本,9.2,AI_Book数量
2021,日本,2.9,AI_Book数量
2022,日本,7.0,AI_Book数量
2023,日本,9.9,AI_Book数量
2024,日本,0.3,AI_Book数量
2025,日本,2.0,AI_Book数量
2026,日本,3.1133333333339124,AI_Book数量
2027,日本,2.44666666666717,AI_Book数量
2028,日本,1.7800000000004275,AI_Book数量
2029,日本,1.1133333333339124,AI_Book数量
2030,日本,0.4466666666671699,AI_Book数量
2031,日本,0.0,AI_Book数量
